run,Accuracies,Precisions,Recalls,F1s,AUCs,Durations,Memory_KB
0,0.8859060402684564,0.8041400304414004,0.873774784885896,0.8308627136752137,0.873774784885896,0.02401900291442871,380.654296875
1,0.8523489932885906,0.7521869874248224,0.7800546448087431,0.7645114942528736,0.7800546448087431,0.023330211639404297,380.9638671875
2,0.87248322147651,0.7655582264957265,0.8314166666666667,0.7911009445100354,0.8314166666666668,0.012066841125488281,381.4267578125
3,0.8557046979865772,0.750396662161368,0.8550833333333333,0.7823524416135881,0.8550833333333333,0.01216888427734375,381.4365234375
4,0.8758389261744967,0.7901629072681704,0.8465020576131688,0.8127218683651805,0.8465020576131689,0.017755746841430664,381.17578125
5,0.8120805369127517,0.7167053609117772,0.8312096774193548,0.741142892597878,0.8312096774193548,0.016804933547973633,380.9501953125
6,0.8489932885906041,0.7750684931506849,0.8016826923076923,0.786746815514527,0.8016826923076923,0.01618194580078125,381.521484375
7,0.87248322147651,0.768170426065163,0.8566666666666667,0.7992340968725622,0.8566666666666668,0.013328075408935547,381.1875
8,0.8791946308724832,0.800082270670506,0.8717332750964548,0.8267106028300057,0.8717332750964548,0.012823820114135742,381.451171875
9,0.8859060402684564,0.7882686587812133,0.841570363084993,0.8104751215862327,0.841570363084993,0.019849061965942383,381.498046875
